# Barrel (src/services/index.ts) re-export classification

name | direct-import sites outside barrel (non-test) | test refs | verdict
appStorage | def=src/services/storage-service.ts otherfiles=1 | tests=1 | BARREL-LINE-ONLY
NamespacedStorage | def=src/services/storage-service.ts otherfiles=0 | tests=1 | SYMBOL-DEAD-OUTSIDE-DEF-FILE
SecureStorage | def=src/services/storage-service.ts otherfiles=0 | tests=1 | SYMBOL-DEAD-OUTSIDE-DEF-FILE
ROUTES | def=src/services/router-service.ts otherfiles=1 | tests=1 | BARREL-LINE-ONLY
apiService | def=src/services/api-service-wrapper.ts otherfiles=1 | tests=1 | BARREL-LINE-ONLY
TooltipService | def=src/services/tooltip-service.ts otherfiles=1 | tests=3 | BARREL-LINE-ONLY
AnnouncerService | def=src/services/announcer-service.ts otherfiles=1 | tests=1 | BARREL-LINE-ONLY
CameraService | def=src/services/camera-service.ts otherfiles=0 | tests=1 | SYMBOL-DEAD-OUTSIDE-DEF-FILE
IndexedDBService | def=src/services/indexeddb-service.ts otherfiles=0 | tests=1 | SYMBOL-DEAD-OUTSIDE-DEF-FILE
indexedDBService | def=src/services/indexeddb-service.ts otherfiles=2 | tests=3 | BARREL-LINE-ONLY
STORES | def=src/services/indexeddb-service.ts otherfiles=2 | tests=2 | BARREL-LINE-ONLY
KeyboardService | def=src/services/keyboard-service.ts otherfiles=0 | tests=1 | SYMBOL-DEAD-OUTSIDE-DEF-FILE
DyeSelectionContext | def=src/services/dye-selection-context.ts otherfiles=0 | tests=1 | SYMBOL-DEAD-OUTSIDE-DEF-FILE
CommunityPresetService | def=src/services/community-preset-service.ts otherfiles=1 | tests=1 | BARREL-LINE-ONLY
HybridPresetService | def=src/services/hybrid-preset-service.ts otherfiles=0 | tests=0 | SYMBOL-DEAD-OUTSIDE-DEF-FILE
hybridPresetService | def=src/services/hybrid-preset-service.ts otherfiles=1 | tests=0 | BARREL-LINE-ONLY
AuthService | def=src/services/auth-service.ts otherfiles=0 | tests=1 | SYMBOL-DEAD-OUTSIDE-DEF-FILE
consumeReturnTool | def=src/services/auth-service.ts otherfiles=0 | tests=1 | SYMBOL-DEAD-OUTSIDE-DEF-FILE
PresetSubmissionService | def=src/services/preset-submission-service.ts otherfiles=0 | tests=1 | SYMBOL-DEAD-OUTSIDE-DEF-FILE
getConfigController | def=src/services/config-controller.ts otherfiles=0 | tests=1 | SYMBOL-DEAD-OUTSIDE-DEF-FILE
ShareService | def=src/services/share-service.ts otherfiles=9 | tests=3 | BARREL-LINE-ONLY
getMarketBoardService | def=src/services/market-board-service.ts otherfiles=0 | tests=1 | SYMBOL-DEAD-OUTSIDE-DEF-FILE
formatPrice | def=src/services/market-board-service.ts otherfiles=7 | tests=7 | BARREL-LINE-ONLY
blendTwoColors | def=src/services/mixer-blending-engine.ts otherfiles=1 | tests=1 | BARREL-LINE-ONLY
