cjkStack                         prod=3   tests=0    | prod files: apps/og-worker/src/services/fonts.ts | elsewhere: 
FONT_FAMILIES                    prod=1   tests=0    | prod files: apps/og-worker/src/services/fonts.ts | elsewhere: 
THEME                            prod=3   tests=13   | prod files: apps/og-worker/src/services/svg/base.ts | elsewhere: apps/web-app/src/services/theme-service.ts apps/web-app/src/shared/constants.ts apps/web-app/src/styles/themes.css docs/historical/20251211-v3UIRehaul/00-OVERVIEW.md docs/historical/index.md 
OG_DIMENSIONS                    prod=2   tests=4    | prod files: apps/og-worker/src/services/svg/base.ts | elsewhere: 
linearGradient                   prod=3   tests=5    | prod files: apps/og-worker/src/services/svg/base.ts | elsewhere: apps/web-app/public/assets/icons/sparkles.svg docs/historical/20251207-DiscordBotMigration/TECHNOLOGY_STACK.md docs/historical/20251211-v3UIRehaul/04-THEME-SYSTEM.md docs/historical/20251214-SVGRedesign/icons/logo/sparkles-logo.svg docs/historical/web-app/20260531-Mockups/tools/HarmonyMockup.ts 
ShareParams                      prod=1   tests=0    | prod files: apps/og-worker/src/types.ts | elsewhere: apps/web-app/src/components/v4/share-button.ts apps/web-app/src/services/share-service.ts docs/projects/web-app/tools.md docs/superpowers/plans/2026-08-16-local-presets-5-1.md 
OG_CACHE                         prod=1   tests=0    | prod files: apps/og-worker/src/types.ts | elsewhere: 
perceptual                       prod=2   tests=2    | prod files: apps/og-worker/src/og-data-generator.ts apps/og-worker/src/types.ts | elsewhere: apps/api-worker/docs/reference/matching.md apps/discord-worker/src/commands/schemas.ts apps/discord-worker/src/types/preferences.ts apps/web-app/README.md apps/web-app/src/components/__tests__/metric-help.test.ts 
SwatchParams                     prod=6   tests=0    | prod files: apps/og-worker/src/og-data-generator.ts apps/og-worker/src/types.ts | elsewhere: 
index                            prod=18  tests=3    | prod files: apps/og-worker/src/index.ts apps/og-worker/src/services/svg/dye-helpers.ts apps/og-worker/src/types.ts | elsewhere: apps/api-worker/CLAUDE.md apps/api-worker/README.md apps/api-worker/src/lib/api-error.ts apps/api-worker/src/universalis/router.test.ts apps/api-worker/src/universalis/router.ts 
userAgent                        prod=11  tests=43   | prod files: apps/og-worker/src/crawler-detector.ts apps/og-worker/src/types.ts | elsewhere: docs/brainstorming/SHARE_BUTTON_OPENGRAPH.md packages/worker-kit/src/middleware/logger.test.ts packages/worker-kit/src/middleware/logger.ts 
CrawlerInfo                      prod=6   tests=0    | prod files: apps/og-worker/src/crawler-detector.ts apps/og-worker/src/types.ts | elsewhere: 
bandInk                          prod=3   tests=4    | prod files: apps/og-worker/src/services/svg/band.ts apps/og-worker/src/services/svg/index.ts | elsewhere: 
cardFooter                       prod=7   tests=2    | prod files: apps/og-worker/src/services/svg/band.ts apps/og-worker/src/services/svg/default-card.ts apps/og-worker/src/services/svg/index.ts | elsewhere: 
cardHeader                       prod=7   tests=3    | prod files: apps/og-worker/src/services/svg/band.ts apps/og-worker/src/services/svg/default-card.ts apps/og-worker/src/services/svg/index.ts | elsewhere: 
ogMark                           prod=5   tests=0    | prod files: apps/og-worker/src/services/svg/band.ts apps/og-worker/src/services/svg/default-card.ts apps/og-worker/src/services/svg/index.ts | elsewhere: 
xStrip                           prod=9   tests=4    | prod files: apps/og-worker/src/services/svg/accessibility.ts apps/og-worker/src/services/svg/band.ts apps/og-worker/src/services/svg/extractor.ts apps/og-worker/src/services/svg/index.ts apps/og-worker/src/services/svg/mixer.ts | elsewhere: 
BAND_FRAMES                      prod=5   tests=7    | prod files: apps/og-worker/src/services/svg/band.ts apps/og-worker/src/services/svg/default-card.ts apps/og-worker/src/services/svg/index.ts | elsewhere: 
BAND_CAP                         prod=7   tests=2    | prod files: apps/og-worker/src/services/svg/band.ts apps/og-worker/src/services/svg/extractor.ts apps/og-worker/src/services/svg/gradient.ts apps/og-worker/src/services/svg/index.ts | elsewhere: 
DECK_H                           prod=4   tests=2    | prod files: apps/og-worker/src/services/svg/band.ts apps/og-worker/src/services/svg/index.ts | elsewhere: 
FOOTER_H                         prod=7   tests=3    | prod files: apps/og-worker/src/services/svg/band.ts apps/og-worker/src/services/svg/default-card.ts apps/og-worker/src/services/svg/index.ts | elsewhere: apps/discord-worker/src/services/budget/budget-calculator.ts 
