ApiDye                               prod=3    tests=0    other=2   | prod: apps/api-worker/src/lib/dye-serializer.ts | other: docs/projects/api-worker/overview.md docs/research/monorepo-2.0/02-stainid-migration.md 
ApiError                             prod=59   tests=15   other=4   | prod: apps/api-worker/src/chara/router.ts apps/api-worker/src/index.ts apps/api-worker/src/lib/api-error.ts apps/api-worker/src/lib/validation.ts apps/api-worker/src/routes/dyes.ts apps/api-worker/src/telemetry/router.ts | other: docs/projects/api-worker/overview.md docs/research/api/06-error-handling.md docs/research/api/07-implementation-plan.md docs/superpowers/plans/2026-08-29-web-analytics.md 
applyDyeFilters                      prod=5    tests=9    other=2   | prod: apps/api-worker/src/lib/validation.ts apps/api-worker/src/routes/dyes.ts apps/api-worker/src/routes/match.ts | other: docs/historical/web-app/20251201-Optimize/04-DESIGN-PATTERNS.md docs/historical/web-app/20251201-Optimize/05-TEST-COVERAGE.md 
BodyTooLargeError                    prod=9    tests=0    other=1   | prod: apps/api-worker/src/chara/router.ts apps/api-worker/src/lib/bounded-body.ts apps/api-worker/src/telemetry/router.ts | other: docs/superpowers/plans/2026-08-29-web-analytics.md 
buildCacheHeaders                    prod=5    tests=7    other=0   | prod: apps/api-worker/src/universalis/router.ts apps/api-worker/src/universalis/services/cached-fetch.ts | other: 
buildFilterExcludeIds                prod=3    tests=0    other=0   | prod: apps/api-worker/src/lib/validation.ts apps/api-worker/src/routes/match.ts | other: 
buildPagination                      prod=3    tests=7    other=0   | prod: apps/api-worker/src/lib/response.ts apps/api-worker/src/routes/dyes.ts | other: 
buildResolveQuery                    prod=2    tests=4    other=0   | prod: apps/api-worker/src/chara/xivapi.ts | other: 
CACHE_CONFIGS                        prod=8    tests=16   other=0   | prod: apps/api-worker/src/universalis/config/cache.ts apps/api-worker/src/universalis/router.ts | other: 
CacheConfig                          prod=12   tests=11   other=0   | prod: apps/api-worker/src/chara/cache.ts apps/api-worker/src/universalis/config/cache.ts apps/api-worker/src/universalis/services/cached-fetch.ts apps/api-worker/src/universalis/services/cache-service.ts apps/api-worker/src/universalis/types.ts | other: 
CacheConfigKey                       prod=1    tests=2    other=0   | prod: apps/api-worker/src/universalis/config/cache.ts | other: 
