badRequestResponse                   prod=2    tests=3    other=6   | prod: packages/auth/src/discord.ts packages/auth/src/index.ts | other: apps/discord-worker/src/index.test.ts apps/discord-worker/src/index.ts apps/moderation-worker/src/index.ts apps/moderation-worker/src/utils/verify.test.ts apps/moderation-worker/src/utils/verify.ts 
base64UrlDecode                      prod=11   tests=7    other=6   | prod: packages/auth/src/encoding/base64.ts packages/auth/src/encoding/index.ts packages/auth/src/index.ts packages/auth/src/jwt.ts | other: apps/oauth/src/services/jwt-service.ts apps/oauth/src/utils/state-signing.ts docs/historical/20251207-DeepDive/01-SECURITY-FINDINGS.md docs/historical/20251207-DeepDive/04-IMPLEMENTATION-ROADMAP.md docs/historical/20251207-DeepDive/xivdyetools-oauth-analysis.md 
base64UrlDecodeBytes                 prod=9    tests=5    other=0   | prod: packages/auth/src/encoding/base64.ts packages/auth/src/encoding/index.ts packages/auth/src/hmac.ts packages/auth/src/index.ts packages/auth/src/jwt.ts | other: 
base64UrlEncode                      prod=7    tests=16   other=9   | prod: packages/auth/src/encoding/base64.ts packages/auth/src/encoding/index.ts packages/auth/src/index.ts | other: apps/oauth/src/__tests__/jwt-service.test.ts apps/oauth/src/__tests__/token.test.ts apps/oauth/src/services/jwt-service.ts apps/oauth/src/utils/state-signing.ts apps/presets-api/tests/middleware/auth.test.ts 
base64UrlEncodeBytes                 prod=7    tests=11   other=5   | prod: packages/auth/src/encoding/base64.ts packages/auth/src/encoding/index.ts packages/auth/src/hmac.ts packages/auth/src/index.ts | other: apps/oauth/src/services/jwt-service.ts apps/oauth/src/utils/pkce-binding.ts apps/presets-api/tests/middleware/auth.test.ts docs/versions.md packages/test-utils/src/auth/jwt.ts 
BOT_SIGNATURE_NONCE_HEADER           prod=2    tests=0    other=4   | prod: packages/auth/src/hmac.ts packages/auth/src/index.ts | other: apps/discord-worker/src/services/preset-api.ts apps/moderation-worker/src/services/preset-api.ts apps/presets-api/src/middleware/auth.ts docs/projects/presets-api/endpoints.md 
BOT_SIGNATURE_V2_HEADER              prod=2    tests=0    other=4   | prod: packages/auth/src/hmac.ts packages/auth/src/index.ts | other: apps/discord-worker/src/services/preset-api.ts apps/moderation-worker/src/services/preset-api.ts apps/presets-api/src/middleware/auth.ts docs/projects/presets-api/endpoints.md 
BOT_SIGNATURE_V2_MAX_AGE_MS          prod=4    tests=2    other=1   | prod: packages/auth/src/hmac.ts packages/auth/src/index.ts | other: apps/presets-api/CLAUDE.md 
BotSignatureOptions                  prod=3    tests=0    other=0   | prod: packages/auth/src/hmac.ts packages/auth/src/index.ts | other: 
BotSignatureV2Request                prod=6    tests=0    other=0   | prod: packages/auth/src/hmac.ts packages/auth/src/index.ts | other: 
bytesToHex                           prod=8    tests=8    other=0   | prod: packages/auth/src/encoding/hex.ts packages/auth/src/encoding/index.ts packages/auth/src/hmac.ts packages/auth/src/index.ts | other: 
createBotSignatureV2                 prod=4    tests=9    other=8   | prod: packages/auth/src/hmac.ts packages/auth/src/index.ts | other: apps/discord-worker/src/services/preset-api.ts apps/moderation-worker/CLAUDE.md apps/moderation-worker/src/services/preset-api.ts apps/presets-api/tests/middleware/auth-v2.test.ts apps/presets-api/tests/middleware/auth.test.ts 
createHmacKey                        prod=4    tests=13   other=3   | prod: packages/auth/src/hmac.ts packages/auth/src/index.ts | other: apps/discord-worker/src/utils/env-validation.ts apps/discord-worker/src/utils/github-verify.ts apps/moderation-worker/src/utils/env-validation.ts 
decodeJWT                            prod=3    tests=6    other=4   | prod: packages/auth/src/index.ts packages/auth/src/jwt.ts | other: apps/oauth/src/__tests__/jwt-service.test.ts apps/oauth/src/services/jwt-service.ts apps/web-app/src/services/auth-service.ts docs/historical/20251207-DeepDive/xivdyetools-oauth-analysis.md 
DEFAULT_DISCORD_MAX_TIMESTAMP_AGE_SECONDS prod=3    tests=2    other=0   | prod: packages/auth/src/discord.ts packages/auth/src/index.ts | other: 
DiscordVerificationResult            prod=3    tests=0    other=1   | prod: packages/auth/src/discord.ts packages/auth/src/index.ts | other: apps/moderation-worker/src/utils/verify.ts 
DiscordVerifyOptions                 prod=3    tests=0    other=1   | prod: packages/auth/src/discord.ts packages/auth/src/index.ts | other: apps/moderation-worker/src/utils/verify.ts 
getOrCreateHmacKey                   prod=7    tests=0    other=0   | prod: packages/auth/src/hmac.ts packages/auth/src/jwt.ts | other: 
hexToBytes                           prod=7    tests=13   other=1   | prod: packages/auth/src/encoding/hex.ts packages/auth/src/encoding/index.ts packages/auth/src/hmac.ts packages/auth/src/index.ts | other: docs/versions.md 
hmacSign                             prod=3    tests=12   other=3   | prod: packages/auth/src/hmac.ts packages/auth/src/index.ts | other: apps/oauth/src/__tests__/jwt-service.test.ts apps/oauth/src/services/jwt-service.ts docs/historical/20251207-DeepDive/01-SECURITY-FINDINGS.md 
hmacSignHex                          prod=4    tests=6    other=3   | prod: packages/auth/src/hmac.ts packages/auth/src/index.ts | other: apps/discord-worker/src/utils/env-validation.ts apps/moderation-worker/src/utils/env-validation.ts apps/presets-api/tests/middleware/auth-v2.test.ts 
hmacVerify                           prod=2    tests=6    other=2   | prod: packages/auth/src/hmac.ts packages/auth/src/index.ts | other: apps/oauth/src/__tests__/jwt-service.test.ts apps/oauth/src/services/jwt-service.ts 
hmacVerifyHex                        prod=3    tests=5    other=1   | prod: packages/auth/src/hmac.ts packages/auth/src/index.ts | other: apps/discord-worker/src/utils/github-verify.ts 
isTokenRevoked                       prod=2    tests=7    other=4   | prod: packages/auth/src/index.ts packages/auth/src/revocation.ts | other: apps/oauth/src/__tests__/jwt-service.test.ts apps/oauth/src/__tests__/token.test.ts apps/oauth/src/services/jwt-service.ts apps/presets-api/src/middleware/auth.ts 
JWTPayload                           prod=9    tests=23   other=18  | prod: packages/auth/src/index.ts packages/auth/src/jwt.ts | other: apps/oauth/CLAUDE.md apps/oauth/README.md apps/oauth/src/services/jwt-service.ts apps/oauth/src/types.ts apps/presets-api/src/middleware/auth.ts 
REFRESH_GRACE_SECONDS                prod=5    tests=3    other=5   | prod: packages/auth/src/index.ts packages/auth/src/revocation.ts | other: apps/oauth/CLAUDE.md apps/oauth/README.md apps/oauth/src/handlers/token.ts docs/projects/oauth/endpoints.md docs/versions.md 
RevocationStore                      prod=4    tests=4    other=0   | prod: packages/auth/src/index.ts packages/auth/src/revocation.ts | other: 
