AccessibilityDye                     prod=3    tests=0    other=1   | prod: packages/bot-logic/src/commands/accessibility.ts packages/bot-logic/src/index.ts | other: apps/discord-worker/src/handlers/commands/accessibility.ts 
AccessibilityInput                   prod=3    tests=0    other=1   | prod: packages/bot-logic/src/commands/accessibility.ts packages/bot-logic/src/index.ts | other: docs/research/discord-alternatives/06d-bot-logic.md 
AccessibilityResult                  prod=3    tests=0    other=2   | prod: packages/bot-logic/src/commands/accessibility.ts packages/bot-logic/src/index.ts | other: docs/historical/web-app/20251122-DiscordBot/PACKAGE_GUIDE.md docs/research/discord-alternatives/06d-bot-logic.md 
ALLOWED_MENTIONS_NONE                prod=2    tests=3    other=4   | prod: packages/bot-logic/src/discord-markdown.ts packages/bot-logic/src/index.ts | other: apps/discord-worker/src/utils/discord-api.ts apps/moderation-worker/src/utils/discord-api.ts apps/moderation-worker/src/utils/response.ts docs/versions.md 
capGradientRows                      prod=3    tests=0    other=1   | prod: packages/bot-logic/src/commands/gradient.ts | other: docs/research/monorepo-2.0/3-3-gradient-mixer-port-spec.md 
ComparisonInput                      prod=3    tests=0    other=1   | prod: packages/bot-logic/src/commands/comparison.ts packages/bot-logic/src/index.ts | other: docs/research/discord-alternatives/06d-bot-logic.md 
ComparisonResult                     prod=3    tests=0    other=1   | prod: packages/bot-logic/src/commands/comparison.ts packages/bot-logic/src/index.ts | other: docs/research/discord-alternatives/06d-bot-logic.md 
ContrastDyeInput                     prod=3    tests=0    other=1   | prod: packages/bot-logic/src/commands/contrast.ts packages/bot-logic/src/index.ts | other: apps/discord-worker/src/handlers/commands/contrast.ts 
ContrastInput                        prod=3    tests=0    other=0   | prod: packages/bot-logic/src/commands/contrast.ts packages/bot-logic/src/index.ts | other: 
ContrastResult                       prod=3    tests=0    other=1   | prod: packages/bot-logic/src/commands/contrast.ts packages/bot-logic/src/index.ts | other: apps/web-app/src/components/accessibility-tool.ts 
createTranslator                     prod=19   tests=20   other=37  | prod: packages/bot-logic/src/commands/accessibility.ts packages/bot-logic/src/commands/comparison.ts packages/bot-logic/src/commands/contrast.ts packages/bot-logic/src/commands/dye-info.ts packages/bot-logic/src/commands/gradient.ts packages/bot-logic/src/commands/harmony.ts packages/bot-logic/src/commands/mixer.ts packages/bot-logic/src/commands/swatch.ts packages/bot-logic/src/i18n/index.ts packages/bot-logic/src/i18n/translator.ts | other: DEPRECATIONS.md apps/discord-worker/CLAUDE.md apps/discord-worker/src/commands/localize.ts apps/discord-worker/src/handlers/buttons/copy.ts apps/discord-worker/src/handlers/buttons/index.ts 
DUSKWIGHT_HETEROCHROMIA              prod=1    tests=2    other=0   | prod: packages/bot-logic/src/commands/__fixtures__/chara-fixtures.ts | other: 
DyeInfoInput                         prod=3    tests=0    other=1   | prod: packages/bot-logic/src/commands/dye-info.ts packages/bot-logic/src/index.ts | other: docs/research/discord-alternatives/06d-bot-logic.md 
DyeInfoResult                        prod=3    tests=0    other=1   | prod: packages/bot-logic/src/commands/dye-info.ts packages/bot-logic/src/index.ts | other: docs/research/discord-alternatives/06d-bot-logic.md 
