abbreviateDyeName                    prod=6    tests=12   other=5   | prod: packages/core/src/index.ts packages/core/src/utils/index.ts | other: apps/discord-worker/src/handlers/commands/comparison.test.ts packages/bot-logic/src/commands/comparison.ts packages/bot-logic/src/commands/contrast.ts packages/svg/CLAUDE.md packages/svg/README.md 
ACQUISITION_META                     prod=5    tests=5    other=8   | prod: packages/core/src/config/dye-vocabulary.ts packages/core/src/index.ts packages/core/src/services/dye/DyeDatabase.ts | other: CLAUDE.md DEPRECATIONS.md docs/index.md docs/maintainer/adding-dyes.md docs/projects/core/overview.md 
AcquisitionMeta                      prod=3    tests=0    other=0   | prod: packages/core/src/config/dye-vocabulary.ts packages/core/src/index.ts | other: 
API_CACHE_TTL                        prod=4    tests=13   other=3   | prod: packages/core/src/constants/index.ts packages/core/src/index.ts packages/core/src/services/APIService.ts | other: docs/historical/20251207-DiscordBotMigration/ENVIRONMENT_VARIABLES.md docs/historical/web-app/20251116-Phase12/PHASE_12_CHECKLIST.md docs/historical/web-app/20251116-Phase12/PHASE_12_ROADMAP.md 
API_CACHE_VERSION                    prod=5    tests=3    other=1   | prod: packages/core/src/constants/index.ts packages/core/src/index.ts packages/core/src/services/APIService.ts | other: docs/historical/web-app/20251117-v2.0.0/20251119-TODO.md 
API_MAX_RESPONSE_SIZE                prod=7    tests=1    other=1   | prod: packages/core/src/constants/index.ts packages/core/src/index.ts packages/core/src/services/APIService.ts | other: docs/historical/web-app/20251117-v2.0.0/20251119-TODO.md 
API_RATE_LIMIT_DELAY                 prod=5    tests=0    other=0   | prod: packages/core/src/constants/index.ts packages/core/src/index.ts packages/core/src/services/APIService.ts | other: 
APIService                           prod=12   tests=45   other=33  | prod: packages/core/src/index.ts packages/core/src/services/APIService.ts packages/core/src/utils/index.ts | other: apps/api-worker/CLAUDE.md apps/api-worker/src/universalis/router.ts apps/web-app/CLAUDE.md apps/web-app/scripts/check-bundle-size.js apps/web-app/src/components/__tests__/budget-tool.test.ts 
APIServiceOptions                    prod=3    tests=1    other=1   | prod: packages/core/src/index.ts packages/core/src/services/APIService.ts | other: docs/historical/20251207-DeepDive/CORE_LIBRARY_ANALYSIS.md 
BAND_METHOD_DP                       prod=6    tests=0    other=6   | prod: packages/core/src/config/band-calibration.ts packages/core/src/config/band-vocabulary.ts packages/core/src/index.ts | other: apps/discord-worker/src/handlers/commands/budget.ts apps/web-app/src/components/__tests__/v4/locale-switch.test.ts apps/web-app/src/components/__tests__/v4/result-card.test.ts apps/web-app/src/components/comparison-tool.ts apps/web-app/src/components/gradient-tool.ts 
BAND_VOCABULARY                      prod=3    tests=5    other=10  | prod: packages/core/src/config/band-vocabulary.ts packages/core/src/index.ts | other: apps/discord-worker/src/services/budget/budget-calculator.ts apps/discord-worker/src/services/budget/budget-ledger-model.test.ts apps/web-app/src/components/__tests__/metric-help.test.ts apps/web-app/src/components/budget-tool.ts apps/web-app/src/components/comparison-tool.ts 
