addPresetFavorite                    prod=3    tests=23   other=0   | prod: apps/discord-worker/src/handlers/commands/preset.ts apps/discord-worker/src/services/preset-favorites.ts | other: 
AllowedMentions                      prod=4    tests=0    other=2   | prod: apps/discord-worker/src/utils/discord-api.ts | other: apps/moderation-worker/src/utils/discord-api.ts apps/moderation-worker/src/utils/response.ts 
BINDING_TIERS                        prod=3    tests=3    other=0   | prod: apps/discord-worker/src/services/rate-limiter.ts | other: 
BLENDING_MODES                       prod=4    tests=0    other=6   | prod: apps/discord-worker/src/handlers/commands/preferences.ts apps/discord-worker/src/types/preferences.ts | other: docs/research/discord-alternatives/06-shared-libraries.md docs/research/discord-alternatives/06a-color-blending.md packages/bot-logic/src/i18n/__tests__/locale-orphans.test.ts packages/core/src/blending/index.ts packages/core/src/blending/types.test.ts 
BRAND_ACCENT                         prod=36   tests=0    other=0   | prod: apps/discord-worker/src/handlers/commands/about.ts apps/discord-worker/src/handlers/commands/changelog.ts apps/discord-worker/src/handlers/commands/dye.ts apps/discord-worker/src/handlers/commands/manual.ts apps/discord-worker/src/handlers/commands/preferences.ts apps/discord-worker/src/handlers/commands/preset.ts apps/discord-worker/src/handlers/commands/stats.ts apps/discord-worker/src/index.ts apps/discord-worker/src/services/announcements.ts apps/discord-worker/src/utils/brand.ts apps/discord-worker/src/utils/response.ts | other: 
bucketLocale                         prod=2    tests=3    other=1   | prod: apps/discord-worker/src/services/command-trace.ts | other: docs/superpowers/plans/2026-08-29-bot-analytics-tier-a.md 
BudgetLedgerFindResult               prod=3    tests=0    other=0   | prod: apps/discord-worker/src/services/budget/budget-calculator.ts apps/discord-worker/src/types/budget.ts | other: 
buildModerationNotification          prod=2    tests=0    other=0   | prod: apps/discord-worker/src/handlers/commands/preset-notifications.ts | other: 
buttonKindOf                         prod=4    tests=3    other=1   | prod: apps/discord-worker/src/handlers/buttons/copy.ts apps/discord-worker/src/index.ts apps/discord-worker/src/services/command-trace.ts | other: docs/superpowers/plans/2026-08-29-bot-analytics-tier-a.md 
CACHE_TTL_SECONDS                    prod=2    tests=3    other=0   | prod: apps/discord-worker/src/services/budget/price-cache.ts | other: 
CachedPriceEntry                     prod=4    tests=0    other=0   | prod: apps/discord-worker/src/services/budget/price-cache.ts apps/discord-worker/src/types/budget.ts | other: 
CardTheme                            prod=4    tests=0    other=16  | prod: apps/discord-worker/src/services/preferences.ts apps/discord-worker/src/types/preferences.ts | other: docs/research/monorepo-2.0/3-1-bot-frame-system-port-spec.md packages/svg/src/a11y-card.ts packages/svg/src/base.ts packages/svg/src/budget-ledger.ts packages/svg/src/comparison-card.ts 
ChangelogEntry                       prod=10   tests=2    other=4   | prod: apps/discord-worker/src/handlers/commands/changelog.ts apps/discord-worker/src/services/announcements.ts apps/discord-worker/src/services/changelog-parser.ts | other: apps/web-app/src/components/changelog-modal.ts apps/web-app/src/vite-env.d.ts apps/web-app/vite-plugin-changelog-parser.ts docs/brainstorming/discord-bot/v4-implementation-progress.md 
ChangelogSection                     prod=3    tests=0    other=4   | prod: apps/discord-worker/src/services/changelog-parser.ts | other: apps/web-app/src/components/changelog-modal.ts apps/web-app/src/vite-env.d.ts apps/web-app/vite-plugin-changelog-parser.ts docs/brainstorming/discord-bot/changelog-announcements.md 
checkRateLimit                       prod=7    tests=76   other=21  | prod: apps/discord-worker/src/index.ts apps/discord-worker/src/services/rate-limiter.ts | other: apps/api-worker/src/universalis/router.ts apps/api-worker/src/universalis/services/rate-limiter.ts apps/moderation-worker/CLAUDE.md apps/moderation-worker/src/component-gate.test.ts apps/moderation-worker/src/index.ts 
CLANS_BY_RACE                        prod=6    tests=11   other=2   | prod: apps/discord-worker/src/handlers/commands/preferences.ts apps/discord-worker/src/index.ts apps/discord-worker/src/types/preferences.ts | other: docs/research/discord-alternatives/06-shared-libraries.md docs/research/discord-alternatives/06d-bot-logic.md 
classifyError                        prod=36   tests=6    other=3   | prod: apps/discord-worker/src/handlers/commands/accessibility.ts apps/discord-worker/src/handlers/commands/budget.ts apps/discord-worker/src/handlers/commands/comparison.ts apps/discord-worker/src/handlers/commands/contrast.ts apps/discord-worker/src/handlers/commands/extractor.ts apps/discord-worker/src/handlers/commands/gradient.ts apps/discord-worker/src/handlers/commands/harmony.ts apps/discord-worker/src/handlers/commands/mixer-v4.ts apps/discord-worker/src/handlers/commands/preset.ts apps/discord-worker/src/handlers/commands/stats.ts apps/discord-worker/src/handlers/commands/swatch.ts apps/discord-worker/src/index.ts apps/discord-worker/src/services/command-trace.ts | other: docs/operations/ANALYTICS_QUERIES.md docs/superpowers/plans/2026-08-29-bot-analytics-tier-a.md docs/superpowers/specs/2026-08-29-bot-analytics-tier-a-design.md 
COMMAND_REGISTRY                     prod=5    tests=5    other=9   | prod: apps/discord-worker/src/commands/registry.ts apps/discord-worker/src/handlers/commands/about.ts | other: docs/architecture/overview.md docs/developer-guides/deployment.md docs/developer-guides/troubleshooting.md docs/index.md docs/projects/discord-worker/commands.md 
CommandCategory                      prod=5    tests=0    other=0   | prod: apps/discord-worker/src/commands/registry.ts apps/discord-worker/src/handlers/commands/about.ts | other: 
CommandEvent                         prod=4    tests=9    other=2   | prod: apps/discord-worker/src/services/analytics.ts apps/discord-worker/src/services/command-trace.ts | other: docs/superpowers/plans/2026-08-29-bot-analytics-tier-a.md docs/superpowers/specs/2026-08-29-bot-analytics-tier-a-design.md 
CommandRegistryEntry                 prod=2    tests=0    other=1   | prod: apps/discord-worker/src/commands/registry.ts | other: packages/bot-logic/src/i18n/__tests__/locale-orphans.test.ts 
commands                             prod=66   tests=108  other=158 | prod: apps/discord-worker/src/commands/localize.ts apps/discord-worker/src/commands/registry.ts apps/discord-worker/src/commands/schemas.ts apps/discord-worker/src/handlers/commands/about.ts apps/discord-worker/src/handlers/commands/changelog.ts apps/discord-worker/src/handlers/commands/contrast.ts apps/discord-worker/src/handlers/commands/extractor.ts apps/discord-worker/src/handlers/commands/manual.ts apps/discord-worker/src/handlers/commands/mixer-v4.ts apps/discord-worker/src/handlers/commands/preferences.ts apps/discord-worker/src/handlers/commands/preset.ts apps/discord-worker/src/handlers/commands/stats.ts apps/discord-worker/src/handlers/commands/swatch.ts apps/discord-worker/src/index.ts apps/discord-worker/src/services/analytics.ts apps/discord-worker/src/services/command-trace.ts apps/discord-worker/src/services/i18n.ts apps/discord-worker/src/services/preferences.ts apps/discord-worker/src/services/rate-limiter.ts apps/discord-worker/src/types/env.ts apps/discord-worker/src/utils/env-validation.ts | other: .github/workflows/deploy-discord-worker-beta.yml .github/workflows/deploy-discord-worker.yml .github/workflows/deploy-moderation-worker.yml CLAUDE.md DEPRECATIONS.md 
CommandTrace                         prod=8    tests=1    other=2   | prod: apps/discord-worker/src/services/command-trace.ts | other: docs/superpowers/plans/2026-08-29-bot-analytics-tier-a.md docs/superpowers/specs/2026-08-29-bot-analytics-tier-a-design.md 
COPY_BUTTON_KINDS                    prod=4    tests=4    other=1   | prod: apps/discord-worker/src/handlers/buttons/copy.ts apps/discord-worker/src/services/command-trace.ts | other: docs/superpowers/specs/2026-08-29-bot-analytics-tier-a-design.md 
CopyButtonKind                       prod=4    tests=0    other=1   | prod: apps/discord-worker/src/handlers/buttons/copy.ts apps/discord-worker/src/services/command-trace.ts | other: docs/superpowers/specs/2026-08-29-bot-analytics-tier-a-design.md 
countLocalizations                   prod=1    tests=2    other=0   | prod: apps/discord-worker/src/commands/localize.ts | other: 
createCopyButtons                    prod=8    tests=7    other=0   | prod: apps/discord-worker/src/handlers/buttons/copy.ts apps/discord-worker/src/handlers/buttons/index.ts apps/discord-worker/src/handlers/commands/dye.ts apps/discord-worker/src/handlers/commands/extractor.ts | other: 
createMockEnv                        prod=1    tests=72   other=28  | prod: apps/discord-worker/src/test-utils.ts | other: apps/api-worker/src/chara/router.test.ts apps/api-worker/src/telemetry/router.test.ts apps/api-worker/src/universalis/test-setup.ts apps/api-worker/tests/app-hardening.test.ts apps/api-worker/tests/middleware/rate-limit.test.ts 
createMockServiceBinding             prod=3    tests=2    other=0   | prod: apps/discord-worker/src/test-utils.integration.ts | other: 
createMockUniversalisProxy           prod=1    tests=2    other=1   | prod: apps/discord-worker/src/test-utils.integration.ts | other: docs/research/discord-alternatives/02e-stoat-testing.md 
createTranslator                     prod=48   tests=40   other=20  | prod: apps/discord-worker/src/commands/localize.ts apps/discord-worker/src/handlers/buttons/copy.ts apps/discord-worker/src/handlers/buttons/index.ts apps/discord-worker/src/handlers/buttons/preview-image.ts apps/discord-worker/src/handlers/commands/accessibility.ts apps/discord-worker/src/handlers/commands/comparison.ts apps/discord-worker/src/handlers/commands/contrast.ts apps/discord-worker/src/handlers/commands/dye.ts apps/discord-worker/src/handlers/commands/extractor.ts apps/discord-worker/src/handlers/commands/gradient.ts apps/discord-worker/src/handlers/commands/harmony.ts apps/discord-worker/src/handlers/commands/preset.ts apps/discord-worker/src/handlers/commands/preset-notifications.ts apps/discord-worker/src/handlers/commands/swatch.ts apps/discord-worker/src/index.ts apps/discord-worker/src/services/bot-i18n.ts apps/discord-worker/src/services/budget/universalis-client.ts | other: DEPRECATIONS.md apps/moderation-worker/src/services/bot-i18n.test.ts apps/moderation-worker/src/services/bot-i18n.ts docs/historical/20251207-DeepDive/discord-worker-analysis.md docs/research/discord-alternatives/06c-bot-i18n.md 
createUserTranslator                 prod=32   tests=21   other=10  | prod: apps/discord-worker/src/handlers/buttons/index.ts apps/discord-worker/src/handlers/commands/about.ts apps/discord-worker/src/handlers/commands/accessibility.ts apps/discord-worker/src/handlers/commands/changelog.ts apps/discord-worker/src/handlers/commands/contrast.ts apps/discord-worker/src/handlers/commands/extractor.ts apps/discord-worker/src/handlers/commands/gradient.ts apps/discord-worker/src/handlers/commands/harmony.ts apps/discord-worker/src/handlers/commands/mixer-v4.ts apps/discord-worker/src/handlers/commands/preferences.ts apps/discord-worker/src/handlers/commands/preset.ts apps/discord-worker/src/handlers/commands/stats.ts apps/discord-worker/src/handlers/commands/swatch.ts apps/discord-worker/src/index.ts apps/discord-worker/src/services/bot-i18n.ts | other: apps/moderation-worker/CLAUDE.md apps/moderation-worker/src/index.ts apps/moderation-worker/src/services/bot-i18n.test.ts apps/moderation-worker/src/services/bot-i18n.ts docs/brainstorming/discord-bot/command-reference-v4.md 
createUserTranslatorWithPrefs        prod=11   tests=12   other=0   | prod: apps/discord-worker/src/handlers/commands/budget.ts apps/discord-worker/src/handlers/commands/comparison.ts apps/discord-worker/src/handlers/commands/dye.ts apps/discord-worker/src/handlers/commands/extractor.ts apps/discord-worker/src/handlers/commands/manual.ts apps/discord-worker/src/services/bot-i18n.ts | other: 
cutOnLineBoundary                    prod=5    tests=5    other=0   | prod: apps/discord-worker/src/handlers/commands/changelog.ts apps/discord-worker/src/services/announcements.ts apps/discord-worker/src/utils/text.ts | other: 
