assertImageDimensionsFromHeader      prod=4    tests=0    other=1   | prod: apps/image-worker/src/photon.ts apps/image-worker/src/validators.ts | other: apps/discord-worker/src/services/image-input-errors.ts 
assertValidMaxDimension              prod=2    tests=0    other=0   | prod: apps/image-worker/src/photon.ts | other: 
computeCropBox                       prod=2    tests=7    other=1   | prod: apps/image-worker/src/photon.ts | other: docs/superpowers/plans/2026-08-10-preset-preview-images.md 
detectImageFormat                    prod=2    tests=10   other=1   | prod: apps/image-worker/src/validators.ts | other: docs/operations/plans/2026-08-09-image-worker-split.md 
Env                                  prod=3    tests=4    other=187 | prod: apps/image-worker/src/index.ts apps/image-worker/src/types.ts | other: apps/api-worker/CLAUDE.md apps/api-worker/README.md apps/api-worker/src/chara/router.ts apps/api-worker/src/index.ts apps/api-worker/src/lib/response.ts 
extractPixels                        prod=2    tests=3    other=2   | prod: apps/image-worker/src/photon.ts | other: docs/operations/plans/2026-08-09-image-worker-split.md docs/research/discord-alternatives/02c-stoat-infrastructure.md 
FETCH_TIMEOUT_MS                     prod=2    tests=3    other=1   | prod: apps/image-worker/src/validators.ts | other: docs/operations/plans/2026-08-09-image-worker-split.md 
fetchImageWithTimeout                prod=2    tests=20   other=3   | prod: apps/image-worker/src/validators.ts | other: apps/discord-worker/src/services/image-input-errors.ts docs/operations/plans/2026-08-09-image-worker-split.md docs/research/discord-alternatives/02c-stoat-infrastructure.md 
FormatValidationResult               prod=3    tests=0    other=1   | prod: apps/image-worker/src/types.ts apps/image-worker/src/validators.ts | other: docs/operations/plans/2026-08-09-image-worker-split.md 
getImageDimensions                   prod=1    tests=5    other=5   | prod: apps/image-worker/src/photon.ts | other: apps/web-app/src/components/__tests__/extractor-tool.test.ts apps/web-app/src/components/__tests__/image-upload-display.test.ts apps/web-app/src/components/image-upload-display.ts docs/operations/plans/2026-08-09-image-worker-split.md docs/superpowers/specs/2026-08-10-preset-glamour-thumbnails-design.md 
ImageDimensions                      prod=10   tests=0    other=0   | prod: apps/image-worker/src/dimensions.ts apps/image-worker/src/validators.ts | other: 
