AllowedMentions                      prod=8    tests=0    other=1   | prod: apps/moderation-worker/src/utils/discord-api.ts apps/moderation-worker/src/utils/response.ts | other: apps/discord-worker/src/utils/discord-api.ts 
approvePreset                        prod=3    tests=30   other=0   | prod: apps/moderation-worker/src/handlers/buttons/preset-moderation.ts apps/moderation-worker/src/handlers/commands/preset.ts apps/moderation-worker/src/services/preset-api.ts | other: 
autocompleteResponse                 prod=1    tests=6    other=0   | prod: apps/moderation-worker/src/utils/response.ts | other: 
BanConfirmationData                  prod=3    tests=0    other=0   | prod: apps/moderation-worker/src/services/ban-service.ts apps/moderation-worker/src/types/ban.ts | other: 
BannedUser                           prod=5    tests=5    other=0   | prod: apps/moderation-worker/src/services/ban-service.ts apps/moderation-worker/src/types/ban.ts | other: 
BannedUserRow                        prod=4    tests=0    other=0   | prod: apps/moderation-worker/src/services/ban-service.ts apps/moderation-worker/src/types/ban.ts | other: 
BannedUserSearchResult               prod=3    tests=0    other=0   | prod: apps/moderation-worker/src/services/ban-service.ts apps/moderation-worker/src/types/ban.ts | other: 
BanResult                            prod=3    tests=0    other=0   | prod: apps/moderation-worker/src/services/ban-service.ts apps/moderation-worker/src/types/ban.ts | other: 
banUser                              prod=4    tests=38   other=0   | prod: apps/moderation-worker/src/handlers/modals/ban-reason.ts apps/moderation-worker/src/services/ban-service.ts | other: 
checkRateLimit                       prod=5    tests=36   other=19  | prod: apps/moderation-worker/src/index.ts apps/moderation-worker/src/middleware/rate-limit.ts | other: apps/api-worker/src/universalis/router.ts apps/api-worker/src/universalis/services/rate-limiter.ts apps/discord-worker/src/index.test.ts apps/discord-worker/src/index.ts apps/discord-worker/src/services/rate-limiter-fallback.test.ts 
createTranslator                     prod=1    tests=6    other=48  | prod: apps/moderation-worker/src/services/bot-i18n.ts | other: DEPRECATIONS.md apps/discord-worker/CLAUDE.md apps/discord-worker/src/commands/localize.ts apps/discord-worker/src/handlers/buttons/copy.ts apps/discord-worker/src/handlers/buttons/index.ts 
createUserTranslator                 prod=3    tests=9    other=35  | prod: apps/moderation-worker/src/index.ts apps/moderation-worker/src/services/bot-i18n.ts | other: apps/discord-worker/CLAUDE.md apps/discord-worker/src/handlers/buttons/index.ts apps/discord-worker/src/handlers/commands/about.test.ts apps/discord-worker/src/handlers/commands/about.ts apps/discord-worker/src/handlers/commands/accessibility.test.ts 
decodeBase64Url                      prod=3    tests=0    other=0   | prod: apps/moderation-worker/src/handlers/modals/ban-reason.ts apps/moderation-worker/src/utils/response.ts | other: 
deferredResponse                     prod=4    tests=5    other=23  | prod: apps/moderation-worker/src/handlers/commands/preset.ts apps/moderation-worker/src/utils/response.ts | other: apps/discord-worker/src/handlers/commands/accessibility.ts apps/discord-worker/src/handlers/commands/budget.ts apps/discord-worker/src/handlers/commands/comparison.ts apps/discord-worker/src/handlers/commands/contrast.ts apps/discord-worker/src/handlers/commands/dye.ts 
deleteOriginalResponse               prod=1    tests=4    other=0   | prod: apps/moderation-worker/src/utils/discord-api.ts | other: 
