ALLOWED_ENVIRONMENTS                 prod=3    tests=0    other=0   | prod: apps/oauth/src/utils/env-validation.ts | other: 
ALLOWED_REDIRECT_ORIGINS             prod=2    tests=0    other=6   | prod: apps/oauth/src/constants/oauth.ts | other: docs/operations/DEPLOY_ENVIRONMENTS.md docs/operations/DOMAIN_DEPRECATION.md docs/projects/oauth/endpoints.md docs/projects/oauth/overview.md docs/superpowers/plans/2026-08-09-beta-web-app-deployment.md 
authorizeRouter                      prod=4    tests=0    other=0   | prod: apps/oauth/src/handlers/authorize.ts apps/oauth/src/index.ts | other: 
base64UrlDecode                      prod=4    tests=0    other=11  | prod: apps/oauth/src/services/jwt-service.ts apps/oauth/src/utils/state-signing.ts | other: docs/historical/20251207-DeepDive/01-SECURITY-FINDINGS.md docs/historical/20251207-DeepDive/04-IMPLEMENTATION-ROADMAP.md docs/historical/20251207-DeepDive/xivdyetools-oauth-analysis.md packages/auth/CLAUDE.md packages/auth/README.md 
base64UrlEncode                      prod=6    tests=6    other=12  | prod: apps/oauth/src/services/jwt-service.ts apps/oauth/src/utils/state-signing.ts | other: apps/presets-api/tests/middleware/auth.test.ts apps/presets-api/tests/middleware/ban-check.test.ts docs/historical/20251207-DeepDive/xivdyetools-oauth-analysis.md docs/historical/20251214-CodeAudit/04-OAUTH-WORKER.md packages/auth/CLAUDE.md 
bodySizeLimit                        prod=3    tests=3    other=5   | prod: apps/oauth/src/index.ts apps/oauth/src/middleware/body-validation.ts | other: apps/presets-api/CLAUDE.md apps/presets-api/src/index.ts apps/presets-api/src/middleware/body-validation.ts apps/presets-api/tests/middleware/body-validation-preview.test.ts apps/presets-api/tests/middleware/body-validation.test.ts 
buildAuthorizeHandler                prod=6    tests=0    other=0   | prod: apps/oauth/src/handlers/authorize.ts apps/oauth/src/handlers/oauth-flow.ts apps/oauth/src/handlers/xivauth.ts | other: 
buildGetCallbackHandler              prod=5    tests=0    other=0   | prod: apps/oauth/src/handlers/callback.ts apps/oauth/src/handlers/oauth-flow.ts apps/oauth/src/handlers/xivauth.ts | other: 
callbackRouter                       prod=5    tests=0    other=0   | prod: apps/oauth/src/handlers/callback.ts apps/oauth/src/index.ts | other: 
checkRateLimit                       prod=3    tests=41   other=21  | prod: apps/oauth/src/index.ts apps/oauth/src/services/rate-limit.ts | other: apps/api-worker/src/universalis/router.ts apps/api-worker/src/universalis/services/rate-limiter.ts apps/discord-worker/src/index.test.ts apps/discord-worker/src/index.ts apps/discord-worker/src/services/rate-limiter-fallback.test.ts 
computeS256Challenge                 prod=2    tests=0    other=0   | prod: apps/oauth/src/utils/pkce-binding.ts | other: 
createJWTForUser                     prod=6    tests=9    other=0   | prod: apps/oauth/src/handlers/callback.ts apps/oauth/src/handlers/xivauth.ts apps/oauth/src/services/jwt-service.ts | other: 
CreateJWTForUserOptions              prod=2    tests=0    other=0   | prod: apps/oauth/src/services/jwt-service.ts | other: 
CreateUserParams                     prod=4    tests=0    other=0   | prod: apps/oauth/src/services/user-service.ts | other: 
decodeJWT                            prod=2    tests=12   other=7   | prod: apps/oauth/src/services/jwt-service.ts | other: apps/web-app/src/services/auth-service.ts docs/historical/20251207-DeepDive/xivdyetools-oauth-analysis.md packages/auth/CLAUDE.md packages/auth/README.md packages/auth/src/index.ts 
DISCORD_FLOW_CONFIG                  prod=4    tests=0    other=0   | prod: apps/oauth/src/handlers/authorize.ts apps/oauth/src/handlers/callback.ts | other: 
DISCORD_REQUIRED_SCOPES              prod=1    tests=0    other=0   | prod: apps/oauth/src/constants/oauth.ts | other: 
Env                                  prod=25   tests=39   other=173 | prod: apps/oauth/src/handlers/authorize.ts apps/oauth/src/handlers/callback.ts apps/oauth/src/handlers/oauth-flow.ts apps/oauth/src/handlers/token.ts apps/oauth/src/handlers/xivauth.ts apps/oauth/src/index.ts apps/oauth/src/middleware/body-validation.ts apps/oauth/src/services/jwt-service.ts apps/oauth/src/services/rate-limit.ts apps/oauth/src/types.ts apps/oauth/src/utils/env-validation.ts | other: apps/api-worker/CLAUDE.md apps/api-worker/README.md apps/api-worker/src/chara/router.ts apps/api-worker/src/index.ts apps/api-worker/src/lib/response.ts 
EnvValidationResult                  prod=2    tests=0    other=3   | prod: apps/oauth/src/utils/env-validation.ts | other: apps/discord-worker/src/utils/env-validation.ts apps/moderation-worker/src/utils/env-validation.ts apps/presets-api/src/utils/env-validation.ts 
