ACCESSIBILITY_MAX_DYES               prod=5    tests=5    other=0   | prod: apps/og-worker/src/og-data-generator.ts apps/og-worker/src/services/svg/accessibility.ts | other: 
AccessibilityOGOptions               prod=2    tests=0    other=0   | prod: apps/og-worker/src/services/svg/accessibility.ts | other: 
AccessibilityParams                  prod=4    tests=0    other=0   | prod: apps/og-worker/src/og-data-generator.ts apps/og-worker/src/types.ts | other: 
ALGO_TAG                             prod=10   tests=0    other=0   | prod: apps/og-worker/src/services/og-strings.ts apps/og-worker/src/services/svg/band-shared.ts apps/og-worker/src/services/svg/gradient.ts apps/og-worker/src/services/svg/harmony.ts apps/og-worker/src/services/svg/mixer.ts apps/og-worker/src/services/svg/swatch.ts | other: 
AnalyticsEvent                       prod=3    tests=0    other=1   | prod: apps/og-worker/src/index.ts apps/og-worker/src/types.ts | other: docs/brainstorming/analytics/IMPLEMENTATION_APPROACHES.md 
BAND_CAP                             prod=6    tests=2    other=0   | prod: apps/og-worker/src/services/svg/band.ts apps/og-worker/src/services/svg/extractor.ts apps/og-worker/src/services/svg/gradient.ts | other: 
BAND_FRAMES                          prod=4    tests=7    other=0   | prod: apps/og-worker/src/services/svg/band.ts apps/og-worker/src/services/svg/default-card.ts | other: 
BandCardOptions                      prod=2    tests=0    other=0   | prod: apps/og-worker/src/services/svg/band.ts | other: 
BandEntry                            prod=22   tests=0    other=0   | prod: apps/og-worker/src/services/svg/accessibility.ts apps/og-worker/src/services/svg/band.ts apps/og-worker/src/services/svg/budget.ts apps/og-worker/src/services/svg/comparison.ts apps/og-worker/src/services/svg/extractor.ts apps/og-worker/src/services/svg/gradient.ts apps/og-worker/src/services/svg/harmony.ts apps/og-worker/src/services/svg/mixer.ts apps/og-worker/src/services/svg/presets.ts apps/og-worker/src/services/svg/swatch.ts | other: 
BandFrame                            prod=25   tests=0    other=0   | prod: apps/og-worker/src/services/svg/accessibility.ts apps/og-worker/src/services/svg/band.ts apps/og-worker/src/services/svg/band-shared.ts apps/og-worker/src/services/svg/budget.ts apps/og-worker/src/services/svg/comparison.ts apps/og-worker/src/services/svg/default-card.ts apps/og-worker/src/services/svg/extractor.ts apps/og-worker/src/services/svg/gradient.ts apps/og-worker/src/services/svg/harmony.ts apps/og-worker/src/services/svg/mixer.ts apps/og-worker/src/services/svg/presets.ts apps/og-worker/src/services/svg/swatch.ts | other: 
bandGlyph                            prod=20   tests=0    other=0   | prod: apps/og-worker/src/services/svg/accessibility.ts apps/og-worker/src/services/svg/band-shared.ts apps/og-worker/src/services/svg/budget.ts apps/og-worker/src/services/svg/comparison.ts apps/og-worker/src/services/svg/extractor.ts apps/og-worker/src/services/svg/gradient.ts apps/og-worker/src/services/svg/harmony.ts apps/og-worker/src/services/svg/mixer.ts apps/og-worker/src/services/svg/presets.ts apps/og-worker/src/services/svg/swatch.ts | other: 
bandInk                              prod=2    tests=4    other=3   | prod: apps/og-worker/src/services/svg/band.ts | other: packages/svg/src/dye-info-card.ts packages/svg/src/frame.test.ts packages/svg/src/frame.ts 
BudgetOGOptions                      prod=2    tests=0    other=0   | prod: apps/og-worker/src/services/svg/budget.ts | other: 
BudgetParams                         prod=4    tests=0    other=0   | prod: apps/og-worker/src/og-data-generator.ts apps/og-worker/src/types.ts | other: 
cardFooter                           prod=6    tests=2    other=0   | prod: apps/og-worker/src/services/svg/band.ts apps/og-worker/src/services/svg/default-card.ts | other: 
cardHeader                           prod=6    tests=3    other=0   | prod: apps/og-worker/src/services/svg/band.ts apps/og-worker/src/services/svg/default-card.ts | other: 
CharacterGender                      prod=6    tests=0    other=0   | prod: apps/og-worker/src/og-data-generator.ts apps/og-worker/src/og-params.ts apps/og-worker/src/types.ts | other: 
clampInt                             prod=5    tests=0    other=0   | prod: apps/og-worker/src/og-data-generator.ts apps/og-worker/src/og-params.ts | other: 
clipLabel                            prod=2    tests=0    other=0   | prod: apps/og-worker/src/services/svg/band-shared.ts | other: 
ColorSheetCategory                   prod=7    tests=0    other=0   | prod: apps/og-worker/src/og-data-generator.ts apps/og-worker/src/og-params.ts apps/og-worker/src/types.ts | other: 
COMPACT_GLYPH                        prod=6    tests=0    other=0   | prod: apps/og-worker/src/services/svg/band-shared.ts apps/og-worker/src/services/svg/default-card.ts apps/og-worker/src/services/svg/tokens.ts | other: 
COMPARISON_MAX_DYES                  prod=5    tests=5    other=0   | prod: apps/og-worker/src/og-data-generator.ts apps/og-worker/src/services/svg/comparison.ts | other: 
ComparisonOGOptions                  prod=2    tests=0    other=0   | prod: apps/og-worker/src/services/svg/comparison.ts | other: 
ComparisonParams                     prod=4    tests=0    other=0   | prod: apps/og-worker/src/og-data-generator.ts apps/og-worker/src/types.ts | other: 
CrawlerInfo                          prod=6    tests=0    other=0   | prod: apps/og-worker/src/crawler-detector.ts apps/og-worker/src/types.ts | other: 
CrawlerType                          prod=7    tests=2    other=0   | prod: apps/og-worker/src/crawler-detector.ts apps/og-worker/src/types.ts | other: 
DECK_H                               prod=3    tests=2    other=0   | prod: apps/og-worker/src/services/svg/band.ts | other: 
deckLine                             prod=10   tests=8    other=0   | prod: apps/og-worker/src/services/og-strings.ts apps/og-worker/src/services/svg/accessibility.ts apps/og-worker/src/services/svg/budget.ts apps/og-worker/src/services/svg/extractor.ts apps/og-worker/src/services/svg/swatch.ts | other: 
DeckLineKey                          prod=3    tests=2    other=0   | prod: apps/og-worker/src/services/og-strings.ts | other: 
DEFAULT_DECK                         prod=5    tests=5    other=0   | prod: apps/og-worker/src/index.ts apps/og-worker/src/services/svg/default-card.ts apps/og-worker/src/services/svg/index.ts | other: 
DefaultCardOptions                   prod=2    tests=0    other=0   | prod: apps/og-worker/src/services/svg/default-card.ts | other: 
deltaForAlgorithm                    prod=12   tests=0    other=0   | prod: apps/og-worker/src/index.ts apps/og-worker/src/services/svg/dye-helpers.ts apps/og-worker/src/services/svg/gradient.ts apps/og-worker/src/services/svg/harmony.ts apps/og-worker/src/services/svg/mixer.ts apps/og-worker/src/services/svg/swatch.ts apps/og-worker/src/types.ts | other: 
detectCrawler                        prod=3    tests=20   other=0   | prod: apps/og-worker/src/crawler-detector.ts | other: 
detectCrawlerFromRequest             prod=5    tests=4    other=0   | prod: apps/og-worker/src/crawler-detector.ts apps/og-worker/src/index.ts | other: 
DyeMatch                             prod=2    tests=0    other=6   | prod: apps/og-worker/src/services/svg/dye-helpers.ts | other: docs/brainstorming/CHARACTER_COLOR_MATCHER.md docs/projects/core/algorithms.md docs/projects/core/overview.md docs/projects/core/services.md docs/projects/core/types.md 
dyeService                           prod=17   tests=17   other=118 | prod: apps/og-worker/src/services/svg/budget.ts apps/og-worker/src/services/svg/dye-helpers.ts apps/og-worker/src/services/svg/extractor.ts apps/og-worker/src/services/svg/gradient.ts apps/og-worker/src/services/svg/harmony.ts apps/og-worker/src/services/svg/mixer.ts apps/og-worker/src/services/svg/presets.ts apps/og-worker/src/services/svg/swatch.ts | other: apps/api-worker/src/lib/services.ts apps/api-worker/src/lib/validation.ts apps/api-worker/src/routes/dyes.ts apps/api-worker/src/routes/match.ts apps/api-worker/src/telemetry/schema.ts 
