_resetPatternsForTesting             prod=1    tests=12   other=0   | prod: apps/presets-api/src/services/moderation-service.ts | other: 
_setTestPatterns                     prod=1    tests=19   other=0   | prod: apps/presets-api/src/services/moderation-service.ts | other: 
addVote                              prod=7    tests=8    other=5   | prod: apps/presets-api/src/handlers/presets.ts apps/presets-api/src/handlers/votes.ts | other: apps/web-app/src/services/community-preset-service.ts docs/historical/20251207-DeepDive/02-PERFORMANCE-OPTIMIZATION.md docs/historical/20251207-DeepDive/03-REFACTORING-OPPORTUNITIES.md docs/historical/20251207-DeepDive/04-IMPLEMENTATION-ROADMAP.md docs/historical/20251214-CodeAudit/05-PRESETS-API.md 
ApiErrorResponse                     prod=2    tests=0    other=0   | prod: apps/presets-api/src/utils/api-response.ts | other: 
ApiSuccessResponse                   prod=2    tests=0    other=0   | prod: apps/presets-api/src/utils/api-response.ts | other: 
authMiddleware                       prod=4    tests=18   other=1   | prod: apps/presets-api/src/index.ts apps/presets-api/src/middleware/auth.ts apps/presets-api/src/types.ts | other: docs/versions.md 
bodySizeLimit                        prod=3    tests=6    other=4   | prod: apps/presets-api/src/index.ts apps/presets-api/src/middleware/body-validation.ts | other: apps/oauth/CLAUDE.md apps/oauth/src/__tests__/body-validation.test.ts apps/oauth/src/index.ts apps/oauth/src/middleware/body-validation.ts 
CachePurgeResult                     prod=2    tests=0    other=0   | prod: apps/presets-api/src/services/preview-image-service.ts | other: 
categoriesRouter                     prod=5    tests=2    other=0   | prod: apps/presets-api/src/handlers/categories.ts apps/presets-api/src/index.ts | other: 
CategoryRow                          prod=4    tests=3    other=3   | prod: apps/presets-api/src/handlers/categories.ts apps/presets-api/src/types.ts | other: docs/historical/20251207-DeepDive/03-REFACTORING-OPPORTUNITIES.md packages/test-utils/CLAUDE.md packages/test-utils/src/factories/category.ts 
checkBanStatus                       prod=1    tests=7    other=0   | prod: apps/presets-api/src/middleware/ban-check.ts | other: 
checkDailyEventLimit                 prod=5    tests=3    other=1   | prod: apps/presets-api/src/handlers/presets.ts apps/presets-api/src/services/rate-limit-service.ts | other: docs/architecture/security-trade-offs.md 
checkLocalFilter                     prod=2    tests=13   other=3   | prod: apps/presets-api/src/services/moderation-service.ts | other: docs/historical/20251207-DeepDive/02-PERFORMANCE-OPTIMIZATION.md docs/historical/20251207-DeepDive/04-IMPLEMENTATION-ROADMAP.md docs/specifications/community-presets.md 
