A11yCardLabels                       prod=3    tests=0    other=0   | prod: packages/svg/src/a11y-card.ts packages/svg/src/index.ts | other: 
A11yCardOptions                      prod=6    tests=6    other=0   | prod: packages/svg/src/a11y-card.ts packages/svg/src/index.ts | other: 
A11yLensRow                          prod=4    tests=2    other=1   | prod: packages/svg/src/a11y-card.ts packages/svg/src/index.ts | other: packages/bot-logic/src/commands/accessibility.ts 
ACCENT                               prod=3    tests=0    other=4   | prod: packages/svg/src/base.ts packages/svg/src/index.ts | other: apps/presets-api/tests/services/validation-service.test.ts apps/web-app/src/locales/en.json apps/web-app/src/locales/fr.json apps/web-app/src/styles/themes.css 
appIcon                              prod=3    tests=0    other=0   | prod: packages/svg/src/frame.ts packages/svg/src/index.ts | other: 
bandInk                              prod=5    tests=15   other=2   | prod: packages/svg/src/dye-info-card.ts packages/svg/src/frame.ts | other: apps/og-worker/src/services/svg/band.test.ts apps/og-worker/src/services/svg/band.ts 
BandInk                              prod=2    tests=0    other=0   | prod: packages/svg/src/frame.ts | other: 
bandSlices                           prod=2    tests=6    other=0   | prod: packages/svg/src/palette-grid.ts | other: 
BudgetLedgerGroup                    prod=3    tests=2    other=1   | prod: packages/svg/src/budget-ledger.ts packages/svg/src/index.ts | other: apps/discord-worker/src/handlers/commands/budget.ts 
BudgetLedgerLabels                   prod=3    tests=0    other=0   | prod: packages/svg/src/budget-ledger.ts packages/svg/src/index.ts | other: 
BudgetLedgerOptions                  prod=3    tests=0    other=0   | prod: packages/svg/src/budget-ledger.ts packages/svg/src/index.ts | other: 
BudgetLedgerRow                      prod=3    tests=0    other=0   | prod: packages/svg/src/budget-ledger.ts packages/svg/src/index.ts | other: 
CARD_DARK                            prod=4    tests=25   other=2   | prod: packages/svg/src/base.ts packages/svg/src/frame.ts packages/svg/src/index.ts | other: docs/projects/discord-worker/rendering.md docs/versions.md 
CARD_LIGHT                           prod=3    tests=9    other=2   | prod: packages/svg/src/frame.ts packages/svg/src/index.ts | other: docs/projects/discord-worker/rendering.md docs/versions.md 
CARD_MAX_HEIGHT                      prod=7    tests=4    other=0   | prod: packages/svg/src/frame.ts packages/svg/src/harmony-card.ts packages/svg/src/index.ts | other: 
CARD_TYPE                            prod=139  tests=4    other=0   | prod: packages/svg/src/a11y-card.ts packages/svg/src/budget-ledger.ts packages/svg/src/comparison-card.ts packages/svg/src/contrast-card.ts packages/svg/src/dye-info-card.ts packages/svg/src/frame.ts packages/svg/src/gradient.ts packages/svg/src/harmony-card.ts packages/svg/src/index.ts packages/svg/src/mixer-card.ts packages/svg/src/nearest-sheet.ts packages/svg/src/palette-grid.ts packages/svg/src/random-dyes-grid.ts packages/svg/src/swatch-card.ts | other: 
CARD_WIDTH                           prod=138  tests=4    other=1   | prod: packages/svg/src/a11y-card.ts packages/svg/src/budget-ledger.ts packages/svg/src/comparison-card.ts packages/svg/src/contrast-card.ts packages/svg/src/dye-info-card.ts packages/svg/src/frame.ts packages/svg/src/gradient.ts packages/svg/src/harmony-card.ts packages/svg/src/index.ts packages/svg/src/mixer-card.ts packages/svg/src/nearest-sheet.ts packages/svg/src/palette-grid.ts packages/svg/src/random-dyes-grid.ts packages/svg/src/swatch-card.ts | other: apps/og-worker/README.md 
cardShell                            prod=29   tests=0    other=1   | prod: packages/svg/src/a11y-card.ts packages/svg/src/budget-ledger.ts packages/svg/src/comparison-card.ts packages/svg/src/contrast-card.ts packages/svg/src/dye-info-card.ts packages/svg/src/frame.ts packages/svg/src/gradient.ts packages/svg/src/harmony-card.ts packages/svg/src/index.ts packages/svg/src/mixer-card.ts packages/svg/src/nearest-sheet.ts packages/svg/src/palette-grid.ts packages/svg/src/random-dyes-grid.ts packages/svg/src/swatch-card.ts | other: DEPRECATIONS.md 
cardText                             prod=161  tests=0    other=0   | prod: packages/svg/src/a11y-card.ts packages/svg/src/budget-ledger.ts packages/svg/src/comparison-card.ts packages/svg/src/contrast-card.ts packages/svg/src/dye-info-card.ts packages/svg/src/frame.ts packages/svg/src/gradient.ts packages/svg/src/harmony-card.ts packages/svg/src/index.ts packages/svg/src/mixer-card.ts packages/svg/src/nearest-sheet.ts packages/svg/src/palette-grid.ts packages/svg/src/random-dyes-grid.ts packages/svg/src/swatch-card.ts | other: 
CardTextOptions                      prod=3    tests=0    other=0   | prod: packages/svg/src/frame.ts packages/svg/src/index.ts | other: 
cardTheme                            prod=26   tests=0    other=1   | prod: packages/svg/src/a11y-card.ts packages/svg/src/budget-ledger.ts packages/svg/src/comparison-card.ts packages/svg/src/contrast-card.ts packages/svg/src/dye-info-card.ts packages/svg/src/frame.ts packages/svg/src/gradient.ts packages/svg/src/harmony-card.ts packages/svg/src/index.ts packages/svg/src/mixer-card.ts packages/svg/src/nearest-sheet.ts packages/svg/src/palette-grid.ts packages/svg/src/random-dyes-grid.ts packages/svg/src/swatch-card.ts | other: packages/bot-logic/src/commands/swatch.ts 
CardTheme                            prod=48   tests=0    other=3   | prod: packages/svg/src/a11y-card.ts packages/svg/src/base.ts packages/svg/src/budget-ledger.ts packages/svg/src/comparison-card.ts packages/svg/src/contrast-card.ts packages/svg/src/dye-info-card.ts packages/svg/src/frame.ts packages/svg/src/gradient.ts packages/svg/src/harmony-card.ts packages/svg/src/index.ts packages/svg/src/mixer-card.ts packages/svg/src/nearest-sheet.ts packages/svg/src/palette-grid.ts packages/svg/src/random-dyes-grid.ts packages/svg/src/swatch-card.ts | other: apps/discord-worker/src/services/preferences.ts apps/discord-worker/src/types/preferences.ts docs/research/monorepo-2.0/3-1-bot-frame-system-port-spec.md 
CATEGORY_DISPLAY                     prod=3    tests=2    other=2   | prod: packages/svg/src/index.ts packages/svg/src/preset-swatch.ts | other: apps/discord-worker/src/handlers/commands/preset.ts docs/superpowers/plans/2026-08-11-preset-categories-and-image-editing.md 
categoryGlyph                        prod=2    tests=4    other=3   | prod: packages/svg/src/icons/tool-icons.ts packages/svg/src/index.ts | other: apps/web-app/CLAUDE.md apps/web-app/src/shared/category-icons.ts docs/superpowers/plans/2026-08-11-preset-categories-and-image-editing.md 
CategoryGlyphName                    prod=5    tests=0    other=3   | prod: packages/svg/src/icons/tool-icons.ts packages/svg/src/index.ts | other: apps/web-app/src/shared/category-icons.ts docs/superpowers/plans/2026-08-11-preset-categories-and-image-editing.md docs/superpowers/specs/2026-08-11-preset-categories-and-image-editing-design.md 
chromeGlyph                          prod=2    tests=2    other=1   | prod: packages/svg/src/icons/tool-icons.ts packages/svg/src/index.ts | other: apps/web-app/src/shared/ui-icons.ts 
ChromeGlyphName                      prod=5    tests=0    other=0   | prod: packages/svg/src/icons/tool-icons.ts packages/svg/src/index.ts | other: 
circle                               prod=27   tests=8    other=63  | prod: packages/svg/src/base.ts packages/svg/src/contrast-card.ts packages/svg/src/frame.ts packages/svg/src/icons/tool-icons.ts packages/svg/src/index.ts | other: apps/web-app/src/components/__tests__/base-component.test.ts apps/web-app/src/components/__tests__/collapsible-panel.test.ts apps/web-app/src/components/__tests__/empty-state.test.ts apps/web-app/src/components/accessibility-tool.ts apps/web-app/src/components/base-component.ts 
commandChip                          prod=29   tests=0    other=1   | prod: packages/svg/src/a11y-card.ts packages/svg/src/budget-ledger.ts packages/svg/src/comparison-card.ts packages/svg/src/contrast-card.ts packages/svg/src/dye-info-card.ts packages/svg/src/frame.ts packages/svg/src/gradient.ts packages/svg/src/harmony-card.ts packages/svg/src/index.ts packages/svg/src/mixer-card.ts packages/svg/src/nearest-sheet.ts packages/svg/src/palette-grid.ts packages/svg/src/random-dyes-grid.ts packages/svg/src/swatch-card.ts | other: DEPRECATIONS.md 
CommandChipOptions                   prod=3    tests=0    other=0   | prod: packages/svg/src/frame.ts packages/svg/src/index.ts | other: 
ComparisonCardLabels                 prod=3    tests=0    other=0   | prod: packages/svg/src/comparison-card.ts packages/svg/src/index.ts | other: 
ComparisonCardOptions                prod=5    tests=0    other=0   | prod: packages/svg/src/comparison-card.ts packages/svg/src/index.ts | other: 
ComparisonDyeEntry                   prod=3    tests=0    other=1   | prod: packages/svg/src/comparison-card.ts packages/svg/src/index.ts | other: packages/bot-logic/src/commands/comparison.ts 
ComparisonReadout                    prod=3    tests=0    other=1   | prod: packages/svg/src/comparison-card.ts packages/svg/src/index.ts | other: packages/bot-logic/src/commands/comparison.ts 
ContrastCardLabels                   prod=3    tests=0    other=0   | prod: packages/svg/src/contrast-card.ts packages/svg/src/index.ts | other: 
ContrastCardOptions                  prod=6    tests=2    other=0   | prod: packages/svg/src/contrast-card.ts packages/svg/src/index.ts | other: 
ContrastPair                         prod=3    tests=3    other=1   | prod: packages/svg/src/contrast-card.ts packages/svg/src/index.ts | other: packages/bot-logic/src/commands/contrast.ts 
contrastRatio                        prod=2    tests=7    other=5   | prod: packages/svg/src/contrast-card.ts packages/svg/src/index.ts | other: apps/discord-worker/src/handlers/commands/comparison.test.ts apps/web-app/src/components/accessibility-tool.ts docs/research/api/02-endpoint-catalog.md packages/bot-logic/src/commands/comparison.ts packages/bot-logic/src/commands/contrast.ts 
createSvgDocument                    prod=6    tests=5    other=1   | prod: packages/svg/src/base.ts packages/svg/src/index.ts packages/svg/src/preset-swatch.ts | other: docs/research/discord-alternatives/06b-svg.md 
dashedRule                           prod=12   tests=0    other=0   | prod: packages/svg/src/a11y-card.ts packages/svg/src/comparison-card.ts packages/svg/src/contrast-card.ts packages/svg/src/dye-info-card.ts packages/svg/src/frame.ts packages/svg/src/harmony-card.ts packages/svg/src/index.ts | other: 
DyeInfoCardOptions                   prod=3    tests=3    other=1   | prod: packages/svg/src/dye-info-card.ts packages/svg/src/index.ts | other: docs/research/discord-alternatives/06b-svg.md 
DyeInfoLabels                        prod=3    tests=2    other=0   | prod: packages/svg/src/dye-info-card.ts packages/svg/src/index.ts | other: 
escapeXml                            prod=34   tests=21   other=7   | prod: packages/svg/src/base.ts packages/svg/src/contrast-card.ts packages/svg/src/dye-info-card.ts packages/svg/src/frame.ts packages/svg/src/gradient.ts packages/svg/src/index.ts packages/svg/src/swatch-card.ts | other: apps/og-worker/CLAUDE.md apps/og-worker/src/services/svg/band.ts apps/og-worker/src/services/svg/default-card.ts docs/historical/20251207-DiscordBotMigration/FONTS.md docs/historical/20251207-DiscordBotMigration/TECHNOLOGY_STACK.md 
estimateTextWidth                    prod=10   tests=7    other=4   | prod: packages/svg/src/base.ts packages/svg/src/frame.ts packages/svg/src/index.ts packages/svg/src/preset-swatch.ts | other: apps/og-worker/CLAUDE.md apps/og-worker/src/services/svg/band.ts apps/og-worker/src/services/svg/default-card.ts docs/versions.md 
fitText                              prod=72   tests=0    other=0   | prod: packages/svg/src/a11y-card.ts packages/svg/src/budget-ledger.ts packages/svg/src/comparison-card.ts packages/svg/src/contrast-card.ts packages/svg/src/dye-info-card.ts packages/svg/src/frame.ts packages/svg/src/gradient.ts packages/svg/src/harmony-card.ts packages/svg/src/index.ts packages/svg/src/mixer-card.ts packages/svg/src/nearest-sheet.ts packages/svg/src/palette-grid.ts packages/svg/src/random-dyes-grid.ts packages/svg/src/swatch-card.ts | other: 
