AppError                             prod=9    tests=47   other=28  | prod: packages/types/src/error/app-error.ts packages/types/src/error/index.ts packages/types/src/index.ts | other: apps/web-app/src/services/__tests__/storage-service.test.ts apps/web-app/src/services/theme-service.ts apps/web-app/src/shared/__tests__/error-handler.test.ts apps/web-app/src/shared/__tests__/types.test.ts apps/web-app/src/shared/error-handler.ts 
AuthContext                          prod=3    tests=0    other=28  | prod: packages/types/src/auth/index.ts packages/types/src/auth/provider.ts packages/types/src/index.ts | other: apps/presets-api/CLAUDE.md apps/presets-api/src/handlers/categories.ts apps/presets-api/src/handlers/moderation.ts apps/presets-api/src/handlers/presets.ts apps/presets-api/src/handlers/votes.ts 
AuthErrorResponse                    prod=3    tests=0    other=0   | prod: packages/types/src/auth/index.ts packages/types/src/auth/response.ts | other: 
AuthProvider                         prod=7    tests=0    other=6   | prod: packages/types/src/auth/index.ts packages/types/src/auth/jwt.ts packages/types/src/auth/provider.ts packages/types/src/auth/response.ts packages/types/src/index.ts | other: apps/oauth/CLAUDE.md apps/oauth/src/services/jwt-service.ts apps/oauth/src/services/user-service.ts apps/oauth/src/types.ts apps/web-app/src/services/auth-service.ts 
AuthResponse                         prod=5    tests=0    other=5   | prod: packages/types/src/auth/index.ts packages/types/src/auth/response.ts packages/types/src/index.ts | other: apps/oauth/src/handlers/callback.ts apps/oauth/src/handlers/xivauth.ts apps/oauth/src/types.ts apps/web-app/src/services/auth-service.ts docs/historical/20251214-CodeAudit/09-SHARED-PACKAGES-TODO.md 
AuthSource                           prod=4    tests=0    other=3   | prod: packages/types/src/auth/index.ts packages/types/src/auth/provider.ts packages/types/src/index.ts | other: apps/presets-api/src/types.ts apps/presets-api/tests/types.test.ts docs/historical/20251207-DeepDive/03-REFACTORING-OPPORTUNITIES.md 
AuthSuccessResponse                  prod=3    tests=0    other=0   | prod: packages/types/src/auth/index.ts packages/types/src/auth/response.ts | other: 
AuthUser                             prod=4    tests=0    other=5   | prod: packages/types/src/auth/index.ts packages/types/src/auth/response.ts packages/types/src/index.ts | other: apps/oauth/src/services/jwt-service.ts apps/web-app/src/components/__tests__/v4/config-sidebar.test.ts apps/web-app/src/components/v4/config-sidebar.ts apps/web-app/src/services/auth-service.ts docs/projects/oauth/jwt.md 
CachedData                           prod=3    tests=0    other=10  | prod: packages/types/src/api/index.ts packages/types/src/api/response.ts packages/types/src/index.ts | other: apps/web-app/src/services/api-service-wrapper.ts docs/historical/web-app/20251122-DiscordBot/ARCHITECTURE.md docs/historical/web-app/20251123-Optimization/03-refactoring-recommendations.md docs/projects/core/overview.md docs/projects/core/services.md 
CategoryMeta                         prod=4    tests=0    other=14  | prod: packages/types/src/index.ts packages/types/src/preset/core.ts packages/types/src/preset/index.ts | other: apps/moderation-worker/src/types/preset.ts apps/presets-api/scripts/migrate-presets.ts apps/presets-api/src/handlers/categories.ts apps/presets-api/src/types.ts apps/presets-api/tests/handlers/categories.test.ts 
CharacterColor                       prod=3    tests=0    other=5   | prod: packages/types/src/character/index.ts packages/types/src/index.ts | other: apps/web-app/src/components/swatch-tool.ts docs/brainstorming/CHARACTER_COLOR_MATCHER.md packages/core/src/services/CharacterColorService.ts packages/core/src/services/__tests__/CharacterColorService.test.ts packages/core/src/services/chara/chara-resolver.ts 
CharacterColorMatch                  prod=2    tests=0    other=3   | prod: packages/types/src/character/index.ts packages/types/src/index.ts | other: apps/web-app/src/components/swatch-tool.ts docs/projects/core/overview.md packages/core/src/services/CharacterColorService.ts 
ClanKey                              prod=3    tests=0    other=6   | prod: packages/types/src/index.ts packages/types/src/localization/index.ts | other: apps/og-worker/src/services/translator.ts apps/web-app/src/shared/subrace-clan.ts packages/core/src/services/LocalizationService.ts packages/core/src/services/__tests__/LocalizationService.explicit-locale.test.ts packages/core/src/services/localization/TranslationProvider.ts 
classifyMatchDistance                prod=3    tests=11   other=3   | prod: packages/types/src/color/index.ts packages/types/src/color/match-quality.ts packages/types/src/index.ts | other: apps/discord-worker/src/handlers/commands/gradient.ts docs/versions.md packages/bot-logic/CLAUDE.md 
CMYK                                 prod=4    tests=0    other=22  | prod: packages/types/src/color/index.ts packages/types/src/color/rgb.ts packages/types/src/index.ts | other: apps/web-app/src/components/__tests__/harmony-tool.test.ts apps/web-app/src/components/__tests__/mixer-tool.test.ts apps/web-app/src/components/__tests__/swatch-tool.test.ts apps/web-app/src/components/v4/display-options-v4.ts apps/web-app/src/components/v4/result-card.ts 
