__setTestEnvironment                 prod=1    tests=8    other=0   | prod: apps/web-app/src/shared/logger.ts | other: 
AboutModal                           prod=3    tests=25   other=0   | prod: apps/web-app/src/components/about-modal.ts | other: 
AccessibilityConfig                  prod=7    tests=0    other=2   | prod: apps/web-app/src/components/accessibility-tool.ts apps/web-app/src/components/v4/config-sidebar.ts apps/web-app/src/shared/tool-config-types.ts | other: docs/historical/20260115-v4-uiux-ideas/v4-foundation-todo.md docs/projects/web-app/tools.md 
AccessibilityShareParams             prod=2    tests=0    other=0   | prod: apps/web-app/src/services/share-service.ts | other: 
AccessibilityTool                    prod=18   tests=22   other=6   | prod: apps/web-app/src/components/accessibility-tool.ts apps/web-app/src/components/v4-layout.ts | other: docs/historical/20251211-v3UIRehaul/05-MIGRATION-CHECKLIST.md docs/historical/20260115-v4-uiux-ideas/v4-component-migration-map.md docs/historical/20260115-v4-uiux-ideas/v4-foundation-todo.md docs/historical/20260115-v4-uiux-ideas/v4-implementation-guide.md docs/projects/web-app/components.md 
AccessibilityToolOptions             prod=3    tests=0    other=0   | prod: apps/web-app/src/components/accessibility-tool.ts | other: 
AddToCollectionMenuOptions           prod=2    tests=0    other=0   | prod: apps/web-app/src/components/add-to-collection-menu.ts | other: 
AdvancedConfig                       prod=6    tests=0    other=2   | prod: apps/web-app/src/components/advanced-options-panel.ts apps/web-app/src/services/telemetry-service.ts apps/web-app/src/shared/tool-config-types.ts | other: docs/projects/web-app/components.md docs/superpowers/plans/2026-08-29-web-analytics.md 
ALL_SPECTRA                          prod=5    tests=2    other=0   | prod: apps/web-app/src/components/v4/dye-palette-drawer.ts apps/web-app/src/shared/spectrum-filter-utils.ts | other: 
AnnouncementPriority                 prod=3    tests=0    other=0   | prod: apps/web-app/src/services/announcer-service.ts | other: 
AnnouncerService                     prod=7    tests=30   other=11  | prod: apps/web-app/src/services/announcer-service.ts | other: docs/historical/20251211-v3UIRehaul/01-ARCHITECTURE.md docs/historical/20251211-v3UIRehaul/02-COMPONENTS.md docs/historical/20251211-v3UIRehaul/06-PHASE0-AUDIT-RESULTS.md docs/historical/20251214-CodeAudit/02-WEB-APP.md docs/historical/20251214-CodeAudit/07-REMEDIATION-ROADMAP.md 
apiService                           prod=4    tests=4    other=8   | prod: apps/web-app/src/services/api-service-wrapper.ts apps/web-app/src/services/market-board-service.ts | other: docs/historical/web-app/20251122-DiscordBot/API_REFERENCE.md docs/historical/web-app/20251122-DiscordBot/ARCHITECTURE.md docs/historical/web-app/20251122-DiscordBot/MIGRATION_GUIDE.md docs/historical/web-app/20251201-Optimize/03-TYPE-SAFETY.md docs/projects/web-app/components.md 
APIService                           prod=33   tests=33   other=30  | prod: apps/web-app/src/services/api-service-wrapper.ts apps/web-app/src/services/auth-service.ts apps/web-app/src/services/index.ts apps/web-app/src/services/market-board-service.ts | other: apps/api-worker/CLAUDE.md apps/api-worker/src/universalis/router.ts docs/architecture/dependency-graph.md docs/historical/20251207-DeepDive/CORE_LIBRARY_ANALYSIS.md docs/historical/20251207-DeepDive/TODO.md 
APP_ENV                              prod=4    tests=4    other=4   | prod: apps/web-app/src/services/telemetry-service.ts apps/web-app/src/shared/constants.ts | other: docs/superpowers/plans/2026-08-09-beta-web-app-deployment.md docs/superpowers/plans/2026-08-29-web-analytics.md docs/superpowers/specs/2026-08-09-beta-web-app-deployment-design.md docs/superpowers/specs/2026-08-29-web-analytics-design.md 
