| location | zone | found | suggested | note |
|---|---|---|---|---|
| docs/architecture/api-contracts.md:107 | prose | serialised | serialized | — |
| docs/architecture/api-contracts.md:243 | prose | normalised | normalized | — |
| docs/architecture/api-contracts.md:693 | prose | Behaviour | Behavior | — |
| docs/architecture/data-flow.md:196 | prose | colours | colors | — |
| docs/architecture/overview.md:24 | diagram | colours | colors | — |
| docs/architecture/overview.md:24 | diagram | colour | color | — |
| docs/architecture/overview.md:161 | prose | colour | color | — |
| docs/architecture/overview.md:161 | prose | colours | colors | — |
| docs/architecture/overview.md:164 | prose | Colour | Color | — |
| docs/architecture/overview.md:165 | prose | neighbour | neighbor | — |
| docs/architecture/overview.md:166 | prose | Colour | Color | — |
| docs/architecture/overview.md:167 | prose | Colourblindness | Colorblindness | — |
| docs/architecture/overview.md:171 | prose | Colour | Color | — |
| docs/architecture/overview.md:174 | prose | colours | colors | — |
| docs/architecture/overview.md:222 | prose | Colour | Color | — |
| docs/architecture/overview.md:252 | prose | authorises | authorizes | — |
| docs/architecture/overview.md:354 | prose | normalised | normalized | — |
| docs/architecture/overview.md:356 | prose | colour | color | — |
| docs/architecture/overview.md:357 | prose | colour | color | — |
| docs/architecture/overview.md:392 | prose | Colour | Color | — |
| docs/developer-guides/contributing.md:39 | prose | behaviour | behavior | — |
| docs/developer-guides/contributing.md:48 | prose | behaviour | behavior | — |
| docs/developer-guides/contributing.md:100 | prose | behaviour | behavior | — |
| docs/developer-guides/contributing.md:145 | prose | behaviour | behavior | — |
| docs/developer-guides/environment-variables.md:65 | prose | behaviour | behavior | — |
| docs/developer-guides/environment-variables.md:229 | prose | behaviour | behavior | — |
| docs/developer-guides/release-process.md:189 | prose | behaviour | behavior | — |
| docs/developer-guides/troubleshooting.md:183 | prose | favour | favor | — |
| docs/index.md:96 | prose | colours | colors | — |
| docs/index.md:149 | prose | colour | color | — |
| docs/index.md:163 | prose | Colour | Color | — |
| docs/index.md:163 | prose | colour | color | — |
| docs/index.md:184 | prose | colours | colors | — |
| docs/index.md:202 | prose | colour | color | — |
| docs/index.md:251 | prose | normalised | normalized | — |
| docs/index.md:270 | prose | favour | favor | — |
| docs/index.md:280 | prose | colours | colors | — |
| docs/maintainer/adding-dyes.md:24 | prose | colour | color | — |
| docs/maintainer/adding-dyes.md:31 | prose | colour | color | — |
| docs/maintainer/adding-dyes.md:38 | prose | colour | color | — |
| docs/maintainer/adding-dyes.md:40 | prose | colours | colors | — |
| docs/maintainer/adding-dyes.md:272 | prose | grey | gray | glossary? |
| docs/maintainer/adding-dyes.md:281 | prose | colours | colors | — |
| docs/maintainer/adding-dyes.md:385 | prose | colour | color | — |
| docs/operations/IMAGE_WORKER_SPLIT.md:5 | prose | behaviour | behavior | — |
| docs/operations/IMAGE_WORKER_SPLIT.md:181 | prose | defence | defense | — |
| docs/operations/OPEN_ITEMS.md:63 | prose | behaviour | behavior | — |
| docs/projects/api-worker/endpoints.md:283 | prose | normalised | normalized | — |
| docs/projects/api-worker/endpoints.md:373 | prose | colour | color | — |
| docs/projects/api-worker/endpoints.md:375 | prose | colour | color | — |
| docs/projects/api-worker/endpoints.md:394 | prose | colour | color | — |
| docs/projects/api-worker/endpoints.md:396 | prose | Colour | Color | — |
| docs/projects/api-worker/endpoints.md:397 | prose | normalised | normalized | — |
| docs/projects/api-worker/endpoints.md:398 | prose | colour | color | — |
| docs/projects/api-worker/endpoints.md:430 | prose | Behaviour | Behavior | — |
| docs/projects/api-worker/endpoints.md:432 | prose | recognise | recognize | — |
| docs/projects/api-worker/endpoints.md:504 | prose | colour | color | — |
| docs/projects/api-worker/overview.md:141 | prose | colours | colors | — |
| docs/projects/api-worker/overview.md:143 | prose | colour | color | — |
| docs/projects/api-worker/overview.md:158 | prose | Colour | Color | — |
